pubchem_id,GDSC_id,drug_name,TARGET,TARGET_PATHWAY
9933475,1922,Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",RTK signaling
24788740,1924,Ipatasertib,"AKT1, AKT, AKT3",PI3K/MTOR signaling
56941241,1925,GDC0810,"ESR1, ESR2",Hormone-related
70676303,1926,GNE-317,PI3Kalpha,PI3K/MTOR signaling
68107965,1927,GSK2578215A,LRRK2,"Other, kinases"
91668541,1928,I-BRD9,BRD9,Chromatin other
10385095,1930,Telomerase Inhibitor IX,Telomerase,Genome integrity
227681,1931,MIRA-1,TP53,p53 pathway
9825149,1932,NVP-ADW742,IGF1R,IGF1R signaling
46931953,1933,P22077,"USP7, USP47",Protein stability and degradation
68289010,1936,Savolitinib,MET,RTK signaling
992586,1939,UMI-77,MCL1,Apoptosis regulation
2984337,1940,WIKI4,"TNKS1, TNKS2",WNT signaling
71297207,1997,WEHI-539,BCL-XL,Apoptosis regulation
45168044,2011,ICL-SIRT078,SIR2,Other
2130404,2039,AGK2,"BAZ2A, BAZ2B",Chromatin histone acetylation
9927531,2043,BIBR-1532,TERT,Genome integrity
25227847,2044,Pyridostatin,G-quadruplex stabiliser,DNA replication
68947304,2045,AMG-319,PI3K (beta sparing),PI3K/MTOR signaling
16224745,2046,MK-8776,"CHEK1, CHEK2, CDK2",Cell cycle
446541,2055,Mycophenolic acid,,Unclassified
44442376,2057,Remodelin,,Unclassified
118704762,2107,LJI308,"RSK2, RSK1, RSK3",PI3K/MTOR signaling
135905416,2109,AZ6102,"TNKS1, TNKS2",WNT signaling
117072552,2110,GSK591,PMRT5,Chromatin histone methylation
51000408,2111,VE821,ATR,Genome integrity
122540908,2148,POMHEX,,Unclassified
9444,2156,5-azacytidine,DNA methyltransferases,Other
76285486,2157,A-366,"EHMT1, EHMT2",Chromatin histone methylation
121271792,2158,CPI-637,EP300,Chromatin histone methylation
78357767,2159,UNC0379,SETD8,Chromatin histone methylation
24905401,2170,AT13148,AKT1,PI3K/MTOR signaling
70983932,2359,GSK2830371,WIP1,Other
54670067,2438,ascorbate (vitamin C),anti-oxidant proteins,Other
124886,2439,glutathione,anti-oxidant proteins,Other
864,2498,alpha-lipoic acid,Metabolism,Metabolism
12035,2499,N-acetyl cysteine,Metabolism,Metabolism
78243717,1530,PFI3,"PB1, SMARCA4, SMARCA2",Chromatin other
